
지점정보,경도,위도,평균기온(°C),최저기온(°C),최고기온(°C)
속초(90),128.56473,38.25085,16.7,12.1,21.5
북춘천(93),127.75443,37.94738,15.6,9.8,22.1
철원(95),127.3042,38.14787,15.5,9.7,21.8
동두천(98),127.0607,37.90188,15.8,10.2,22.2
파주(99),126.76648,37.88589,15.5,10.1,21.9
대관령(100),128.71834,37.67713,11.8,6.2,17.3
춘천(101),127.7357,37.90262,16.4,11,22.3
백령도(102),124.71237,37.97396,14.5,10.8,18.3
북강릉(104),128.85535,37.80456,16.4,11.4,21.1
강릉(105),128.89099,37.75147,17.9,13.4,22.5
동해(106),129.12433,37.50709,15.8,11.6,19.8
서울(108),126.9658,37.57142,17.1,12.8,21.9
인천(112),126.6249,37.47772,16.2,12.7,20.2
원주(114),127.94659,37.33749,16.5,11.4,21.9
울릉도(115),130.89863,37.48129,15.7,12.8,18.9
수원(119),126.983,37.25746,16.5,11.6,21.8
영월(121),128.45743,37.18126,15.4,9.9,21.8
충주(127),127.9525,36.97045,16.2,10.3,22.2
서산(129),126.4939,36.77658,16.2,11.5,21.9
울진(130),129.41278,36.99176,16,11.4,20.7
청주(131),127.44066,36.63924,17.8,13,23
대전(133),127.37211,36.37198,17.7,12.8,23.1
추풍령(135),127.99458,36.22025,15.6,9.8,21.2
안동(136),128.70733,36.57293,16.1,10.4,22.1
상주(137),128.15741,36.40837,16.7,11.5,22.7
포항(138),129.38002,36.03201,18,14.1,22.6
군산(140),126.76135,36.0053,16.6,12.2,21.8
대구(143),128.65296,35.87797,18.3,12.8,24.3
전주(146),127.11718,35.84092,17.7,12.6,23.3
울산(152),129.33469,35.58237,17.8,13.1,22.7
창원(155),128.57282,35.17019,17.7,13.5,22.6
광주(156),126.89156,35.17294,18.4,13.4,24
부산(159),129.03203,35.10468,17.7,14.7,21.5
통영(162),128.43561,34.84541,17.9,14.4,22
목포(165),126.38151,34.81732,17.6,13.9,21.7
여수(168),127.74063,34.73929,18.1,15.1,21.6
흑산도(169),125.45105,34.68719,16.5,13.3,20.6
완도(170),126.70182,34.3959,17.9,13.6,22.7
고창(172),126.599,35.34824,17.1,11.5,22.9
순천(174),127.3694,35.0204,16.7,10.5,23
홍성(177),126.68772,36.65759,16.6,11.7,22.1
제주(184),126.52969,33.51411,19,15.6,23.5
고산(185),126.16283,33.29382,17.9,14.9,21.7
성산(188),126.8802,33.38677,18.4,14.2,22.6
서귀포(189),126.5653,33.24616,19,15.9,22.7
진주(192),128.04004,35.16378,17.6,11.3,23.8
강화(201),126.44634,37.70739,15.7,10.9,20.8
양평(202),127.49446,37.48863,16.2,11,21.8
이천(203),127.48421,37.26399,16.3,10.9,22.2
인제(211),128.16714,38.05986,15,9.4,21.5
홍천(212),127.88043,37.6836,15.6,10,22.1
태백(216),128.98929,37.17038,13.5,8.4,18.9
정선군(217),128.6459,37.38149,14.9,9.1,21.4
제천(221),128.19433,37.15928,14.9,8.9,21.1
보은(226),127.73415,36.48761,15.7,10,21.9
천안(232),127.29282,36.76217,15.9,10.1,21.7
보령(235),126.55744,36.32724,16.2,11.5,21.2
부여(236),126.92079,36.27242,16.6,11,23
금산(238),127.48175,36.10563,16.5,10.6,22.7
세종(239),127.24438,36.48522,16.8,11.7,22.4
부안(243),126.71657,35.72961,17.1,12.1,22.4
임실(244),127.28556,35.61203,16,10,22.1
정읍(245),126.83904,35.56337,17.1,11.3,22.8
남원(247),127.39652,35.4213,17.1,10.9,23.6
장수(248),127.52031,35.65696,15.2,9,21.3
고창군(251),126.697,35.42661,17.2,11.1,23.2
영광군(252),126.47784,35.28366,17,11.6,22.6
김해시(253),128.89075,35.22981,18,13.5,23.3
순창군(254),127.1286,35.37131,17.2,11.2,23.3
북창원(255),128.6726,35.22655,18.6,14,23.9
양산시(257),129.02009,35.30737,18.2,13.2,23.8
보성군(258),127.21226,34.76335,17.9,12.6,23.3
강진군(259),126.78408,34.64457,17.8,12.4,23.6
장흥(260),126.91951,34.68886,17.3,11.6,22.9
해남(261),126.56907,34.55375,17.1,11.2,22.9
고흥(262),127.27572,34.61826,17.3,11.8,22.8
의령군(263),128.28812,35.32258,18.3,12,24.8
함양군(264),127.74538,35.51138,16.8,10.2,23.5
광양시(266),127.6914,34.9434,18.4,13.8,23.8
진도군(268),126.25846,34.47296,17.4,11.9,22.4
봉화(271),128.91449,36.94361,13,7.1,19.1
영주(272),128.51687,36.87183,15.5,9.9,21.2
문경(273),128.14879,36.62727,15.9,10.2,21.6
청송군(276),129.04005,36.4351,15.1,8.4,22.3
영덕(277),129.40926,36.53337,16.2,11.1,21.8
의성(278),128.68864,36.3561,16.2,9.3,23.3
구미(279),128.32055,36.13055,17.7,12.1,23.9
영천(281),128.9514,35.97742,16.8,10.8,23.2
경주시(283),129.2009,35.8174,17.4,11.5,23.8
거창(284),127.9099,35.66739,16.4,9.9,23.3
합천(285),128.16994,35.56505,17.7,11.7,24.1
밀양(288),128.74412,35.49147,18.2,12.3,24.5
산청(289),127.8791,35.413,17.2,11.2,23.7
거제(294),128.60459,34.88818,17.8,13.7,22.2
남해(295),127.92641,34.81662,18.3,13.7,23.1
