
지점정보,경도,위도,평균기온(°C),최저기온(°C),최고기온(°C)
속초(90),128.56473,38.25085,20.3,17.1,23.8
북춘천(93),127.75443,37.94738,21.6,16.7,27.5
철원(95),127.3042,38.14787,21.2,16.4,26.8
동두천(98),127.0607,37.90188,21.3,16.8,27
파주(99),126.76648,37.88589,21.1,16.7,26.7
대관령(100),128.71834,37.67713,16.8,12.5,21.7
춘천(101),127.7357,37.90262,22.3,17.8,27.7
백령도(102),124.71237,37.97396,18.7,15.9,22.5
북강릉(104),128.85535,37.80456,20.1,16.6,24
강릉(105),128.89099,37.75147,22,18.4,25.9
동해(106),129.12433,37.50709,19.8,16.8,23.3
서울(108),126.9658,37.57142,22.8,18.9,27.6
인천(112),126.6249,37.47772,21.6,18.6,25.3
원주(114),127.94659,37.33749,22.3,17.8,27.3
울릉도(115),130.89863,37.48129,19.7,17.1,22.6
수원(119),126.983,37.25746,22.5,18.3,27.7
영월(121),128.45743,37.18126,21,16.2,27.4
충주(127),127.9525,36.97045,22.1,17.3,27.6
서산(129),126.4939,36.77658,21.9,17.7,27.1
울진(130),129.41278,36.99176,19.9,16.9,23.5
청주(131),127.44066,36.63924,23.8,19.5,28.7
대전(133),127.37211,36.37198,23.5,19.1,28.5
추풍령(135),127.99458,36.22025,20.9,16.1,26.3
안동(136),128.70733,36.57293,21.8,17.1,27.2
상주(137),128.15741,36.40837,22.5,17.7,27.9
포항(138),129.38002,36.03201,22.2,19.4,25.4
군산(140),126.76135,36.0053,22.1,18.5,26.8
대구(143),128.65296,35.87797,23.2,18.9,28.5
전주(146),127.11718,35.84092,23,18.9,28.3
울산(152),129.33469,35.58237,21.7,18.2,25.8
창원(155),128.57282,35.17019,21.8,18.2,26.6
광주(156),126.89156,35.17294,23.3,19.2,28.3
부산(159),129.03203,35.10468,21.9,19.3,25.4
통영(162),128.43561,34.84541,21.8,18.9,25.8
목포(165),126.38151,34.81732,22.7,19.7,26.4
여수(168),127.74063,34.73929,22.3,20,25.4
흑산도(169),125.45105,34.68719,20.9,18.4,24.8
완도(170),126.70182,34.3959,22.3,19,26.4
고창(172),126.599,35.34824,22.7,18.5,27.9
순천(174),127.3694,35.0204,21.7,16.5,27.4
홍성(177),126.68772,36.65759,22.2,18.1,27.2
제주(184),126.52969,33.51411,23.4,20.8,27
고산(185),126.16283,33.29382,22.5,19.9,26.1
성산(188),126.8802,33.38677,22.3,19.5,25.6
서귀포(189),126.5653,33.24616,22.8,20.7,25.6
진주(192),128.04004,35.16378,22.2,17.5,27.5
강화(201),126.44634,37.70739,20.7,16.8,25.5
양평(202),127.49446,37.48863,22,17.5,27.4
이천(203),127.48421,37.26399,22.3,17.3,28.1
인제(211),128.16714,38.05986,20.7,16,26.9
홍천(212),127.88043,37.6836,21.4,16.4,27.7
태백(216),128.98929,37.17038,17.9,13.7,23.1
정선군(217),128.6459,37.38149,20.6,15.8,27.1
제천(221),128.19433,37.15928,21,16,26.7
보은(226),127.73415,36.48761,21.3,16.4,27.1
천안(232),127.29282,36.76217,21.8,16.9,27.3
보령(235),126.55744,36.32724,21.7,18.2,25.9
부여(236),126.92079,36.27242,22.3,17.7,27.9
금산(238),127.48175,36.10563,22.1,17.2,27.9
세종(239),127.24438,36.48522,22.6,18.2,27.8
부안(243),126.71657,35.72961,22.3,18.6,27.4
임실(244),127.28556,35.61203,21.2,16.4,26.9
정읍(245),126.83904,35.56337,22.4,18,27.7
남원(247),127.39652,35.4213,22.4,17.6,28.2
장수(248),127.52031,35.65696,20.6,15.6,26.2
고창군(251),126.697,35.42661,22.4,17.7,28.1
영광군(252),126.47784,35.28366,22.3,18.2,27.4
김해시(253),128.89075,35.22981,22.2,18.3,27.3
순창군(254),127.1286,35.37131,22.5,17.5,28.4
북창원(255),128.6726,35.22655,23.1,18.9,28.2
양산시(257),129.02009,35.30737,22.8,18.4,28.2
보성군(258),127.21226,34.76335,22.9,18.9,27.4
강진군(259),126.78408,34.64457,22.8,18.4,27.9
장흥(260),126.91951,34.68886,22.2,18,27
해남(261),126.56907,34.55375,22.3,18.2,27.3
고흥(262),127.27572,34.61826,21.7,17.3,26.7
의령군(263),128.28812,35.32258,23.1,18,29
함양군(264),127.74538,35.51138,22.1,17,28.2
광양시(266),127.6914,34.9434,22.8,18.9,27.8
진도군(268),126.25846,34.47296,,,
봉화(271),128.91449,36.94361,18.1,13.4,23.5
영주(272),128.51687,36.87183,20.9,16,26.4
문경(273),128.14879,36.62727,21.3,16.6,26.8
청송군(276),129.04005,36.4351,20.5,15,26.9
영덕(277),129.40926,36.53337,20.4,16.3,25.1
의성(278),128.68864,36.3561,21.7,16.2,28.2
구미(279),128.32055,36.13055,23.2,18.3,28.6
영천(281),128.9514,35.97742,21.7,16.9,27.2
경주시(283),129.2009,35.8174,22.3,17.7,27.5
거창(284),127.9099,35.66739,21.5,16.6,27.2
합천(285),128.16994,35.56505,22.5,17.7,28
밀양(288),128.74412,35.49147,23.2,18.6,28.7
산청(289),127.8791,35.413,22.1,17.4,27.7
거제(294),128.60459,34.88818,21.7,18.3,25.8
남해(295),127.92641,34.81662,22.1,18.4,26.6
