Date,Samsung,Apple,Huawei,Xiaomi,Oppo,Mobicel,Motorola,LG,Others,Realme,Google,Nokia,Lenovo,OnePlus,Sony,Asus
2019-10,629,450,230,170,92,72,62,52,180,12,59,18,20,20,12,20
2019-11,627,488,222,173,102,84,62,65,211,26,18,20,17,29,20,23
2019-12,630,502,203,137,83,91,66,62,168,23,27,19,25,21,19,20
2020-01,634,528,225,202,102,82,61,58,144,17,19,23,14,21,18,22
2020-02,663,522,217,166,90,57,62,51,144,29,15,16,17,22,14,20
2020-03,581,559,217,163,91,61,61,61,135,12,20,22,18,21,16,22
2020-04,632,526,238,156,112,63,50,81,109,25,32,25,22,18,16,23
2020-05,600,604,227,183,92,68,62,68,136,34,17,20,14,24,12,28
2020-06,628,510,239,209,91,88,63,60,127,31,18,17,20,20,24,21
2020-07,615,489,216,184,79,76,76,57,151,36,22,13,24,21,21,22
2020-08,614,522,196,149,104,74,71,40,144,32,25,15,20,13,23,19
2020-09,642,511,232,202,96,80,69,34,125,39,18,22,25,24,22,17
2020-10,588,519,191,181,89,57,55,35,146,40,13,18,17,19,15,26
