
지점정보,경도,위도,평균기온(°C),최저기온(°C),최고기온(°C)
속초(90),128.56473,38.25085,25.5,22.3,29.3
북춘천(93),127.75443,37.94738,26.7,22,32.7
철원(95),127.3042,38.14787,26.1,21.2,31.7
동두천(98),127.0607,37.90188,26.4,22.1,31.7
파주(99),126.76648,37.88589,26.1,22,31.4
대관령(100),128.71834,37.67713,21.4,17.1,26.4
춘천(101),127.7357,37.90262,27.3,23.1,32.8
백령도(102),124.71237,37.97396,24,21.2,27.4
북강릉(104),128.85535,37.80456,24.5,21.2,28.3
강릉(105),128.89099,37.75147,26.7,23.1,30.8
동해(106),129.12433,37.50709,24.6,21.8,28.2
서울(108),126.9658,37.57142,28.1,24.6,32.2
인천(112),126.6249,37.47772,27.2,24.6,30.4
원주(114),127.94659,37.33749,26.7,22.5,31.7
울릉도(115),130.89863,37.48129,24.8,22.6,27.7
수원(119),126.983,37.25746,27.7,23.8,32.5
영월(121),128.45743,37.18126,25.4,20.8,31.8
충주(127),127.9525,36.97045,26.4,21.9,31.7
서산(129),126.4939,36.77658,26.7,22.5,31.9
울진(130),129.41278,36.99176,24.7,21.7,28.1
청주(131),127.44066,36.63924,28.3,24.4,32.7
대전(133),127.37211,36.37198,27.8,24,32.3
추풍령(135),127.99458,36.22025,24.9,20.8,29.9
안동(136),128.70733,36.57293,26,21.5,31.5
상주(137),128.15741,36.40837,26.2,21.9,31.6
포항(138),129.38002,36.03201,26.5,24.1,29.3
군산(140),126.76135,36.0053,26.6,23.4,30.9
대구(143),128.65296,35.87797,26.9,22.9,32.1
전주(146),127.11718,35.84092,27.2,23.5,32.1
울산(152),129.33469,35.58237,25.9,22.8,29.8
창원(155),128.57282,35.17019,26.5,23.3,30.9
광주(156),126.89156,35.17294,27,23.6,31.4
부산(159),129.03203,35.10468,26.3,24,29.5
통영(162),128.43561,34.84541,26.5,23.9,30.1
목포(165),126.38151,34.81732,26.8,24.1,30.2
여수(168),127.74063,34.73929,26.5,24.5,29.1
흑산도(169),125.45105,34.68719,25.7,23.4,29.1
완도(170),126.70182,34.3959,26.1,23.3,29.6
고창(172),126.599,35.34824,26.8,22.9,31.6
순천(174),127.3694,35.0204,25.4,21.2,30.5
홍성(177),126.68772,36.65759,26.5,22.5,31.5
제주(184),126.52969,33.51411,27.8,25.5,31.1
고산(185),126.16283,33.29382,26.6,24.4,29.6
성산(188),126.8802,33.38677,26.7,24.5,29.3
서귀포(189),126.5653,33.24616,26.6,24.8,28.7
진주(192),128.04004,35.16378,26.2,22.3,31
강화(201),126.44634,37.70739,26.1,22.3,30.6
양평(202),127.49446,37.48863,26.3,22.4,31.3
이천(203),127.48421,37.26399,26.6,22,32.2
인제(211),128.16714,38.05986,25.7,21.2,32.2
홍천(212),127.88043,37.6836,26.3,21.8,32.5
태백(216),128.98929,37.17038,22.2,17.4,28
정선군(217),128.6459,37.38149,25.2,20.9,31.9
제천(221),128.19433,37.15928,25.1,20.7,30.9
보은(226),127.73415,36.48761,25.4,21.1,30.8
천안(232),127.29282,36.76217,26.2,21.8,31.2
보령(235),126.55744,36.32724,26.5,23.2,30.6
부여(236),126.92079,36.27242,26.6,22.6,31.9
금산(238),127.48175,36.10563,26.1,21.7,31.6
세종(239),127.24438,36.48522,26.9,23,31.7
부안(243),126.71657,35.72961,26.7,23.1,31.4
임실(244),127.28556,35.61203,25,21,30
정읍(245),126.83904,35.56337,26.4,22.4,31.5
남원(247),127.39652,35.4213,26.1,22.1,31.1
장수(248),127.52031,35.65696,24.2,19.7,29.5
고창군(251),126.697,35.42661,26.6,22.5,31.6
영광군(252),126.47784,35.28366,26.6,22.9,31.6
김해시(253),128.89075,35.22981,26.5,23,31.2
순창군(254),127.1286,35.37131,26.6,22.2,31.8
북창원(255),128.6726,35.22655,27.4,23.8,32.1
양산시(257),129.02009,35.30737,27.1,23.6,31.7
보성군(258),127.21226,34.76335,26.6,23.1,30.6
강진군(259),126.78408,34.64457,26.6,23,31
장흥(260),126.91951,34.68886,26,22.4,30.1
해남(261),126.56907,34.55375,26.3,22.6,30.5
고흥(262),127.27572,34.61826,25.8,22.3,29.9
의령군(263),128.28812,35.32258,26.9,22.5,32.3
함양군(264),127.74538,35.51138,25.8,21.5,31.3
광양시(266),127.6914,34.9434,26.7,23.6,30.9
진도군(268),126.25846,34.47296,26.2,22.8,29.8
봉화(271),128.91449,36.94361,22.2,17.7,27.7
영주(272),128.51687,36.87183,25,20.5,30.7
문경(273),128.14879,36.62727,25.3,21.2,30.7
청송군(276),129.04005,36.4351,24.8,20.1,31.1
영덕(277),129.40926,36.53337,24.7,21.1,29.4
의성(278),128.68864,36.3561,25.8,20.8,32.4
구미(279),128.32055,36.13055,26.5,22.1,32.1
영천(281),128.9514,35.97742,25.4,21.1,30.8
경주시(283),129.2009,35.8174,26.1,21.9,31.1
거창(284),127.9099,35.66739,25.1,21,30.6
합천(285),128.16994,35.56505,25.9,21.7,31.5
밀양(288),128.74412,35.49147,26.7,22.5,32.5
산청(289),127.8791,35.413,25.8,21.9,30.9
거제(294),128.60459,34.88818,26.1,23.4,29.5
남해(295),127.92641,34.81662,26.1,22.9,30.3
